latitude_dd,longitude_dd,latitude,longitude,eventName,hwmTypeName,hwmQualityName,verticalDatumName,verticalMethodName,approvalMember,markerName,horizontalMethodName,horizontalDatumName,flagMemberName,surveyMemberName,site_no,siteDescription,sitePriorityName,networkNames,stateName,countyName,siteZone,sitePermHousing,site_latitude,site_longitude,hwm_id,waterbody,site_id,event_id,hwm_type_id,hwm_quality_id,hwm_locationdescription,survey_date,elev_ft,vdatum_id,vcollect_method_id,bank,approval_id,marker_id,height_above_gnd,hcollect_method_id,peak_summary_id,hwm_notes,hwm_environment,flag_date,stillwater,hdatum_id,flag_member_id,survey_member_id,uncertainty,hwm_uncertainty,hwm_label,last_updated,last_updated_by,horizontal_datums,vertical_collect_methods,horizontal_collect_methods,hwm_types,hwm_qualities,event,peak_summary,survey_member,marker,approval,files,site,vertical_datums,flag_member,Links
40.502354,-74.231087,40.502354,-74.231087,2012 Sandy,Debris,Good: +/- 0.10 ft,NAVD88,,,,Map (digital or paper),NAD83,Marie Peppler,,NYRIC00003,SSS-NY-RIC-003WL,Priority 1 (network or time critical),"North Atlantic, SWaTH",NY,Richmond County,,No,40.501881,-74.230339,6408,,7069,24,2,2,on lawn,,13.2,2,,,,,,4,,,Coastal,10/29/2012 12:00:00 AM,,2,36,,,,no_label,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
40.57941,-74.011175,40.57941,-74.011175,2012 Sandy,Stain line,Excellent: +/- 0.05 ft,NAVD88,,,,Static-GNSS,NAD83,Marie Peppler,,NYKIN00001,SSS-NY-KIN-001WL,Priority 1 (network or time critical),"SWaTH, North Atlantic",NY,Kings County,,No,40.579998,-74.011612,6253,,7072,24,6,1,on outside of house,,12.4,2,,,,,,2,,,Coastal,10/29/2012 12:00:00 AM,,2,36,,,,no_label,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
40.583975,-73.64081,40.583975,-73.64081,2012 Sandy,Stain line,Good: +/- 0.10 ft,NAVD88,,,,Static-GNSS,NAD83,Marie Peppler,,NYNAS07073,"Rock groin on open ocean beach at end of Pacific Boulevard, Long Beach, NY.",Priority 1 (network or time critical),"SWaTH, North Atlantic",NY,Nassau County,,No,40.582752,-73.640682,6285,,7073,24,6,2,on beach wall,,10.7,2,,,,,,2,,,Coastal,10/30/2012 12:00:00 AM,,2,36,,,,no_label,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
40.644,-73.157,40.644,-73.157,2012 Sandy,Mud,Excellent: +/- 0.05 ft,NAVD88,,,,Map (digital or paper),NAD83,Todd Koenig,Todd Koenig,NYSUF00017,"Cement groin on open ocean beach at end of Wilmot Road, Ocean Beach, NY.",Priority 1 (network or time critical),"North Atlantic, SWaTH",NY,Suffolk County,0,No,40.643161,-73.1575,34892,Atlantic Ocean,7077,24,1,1,on outside of house,12/13/2018 6:00:00 AM,8,2,,N/A,,,,4,,HWM transferred from site 7583 to site 0017 by TKoenig on 12/13/18 to resolve duplicate site lat/lon.  Marrie Peppler listed as original flagging mamber.,Coastal,10/29/2012 5:00:00 AM,0,2,35,35,,,no_label,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
40.658911,-73.264775,40.658911,-73.264775,2012 Sandy,Debris,Poor: +/- 0.40 ft,NAVD88,,,,RT-GNSS,NAD83,Marie Peppler,,NYSUF07082,"Bridge pier of Robert Moses Causeway at north side of Captree Island, Captree, NY.",Priority 1 (network or time critical),"SWaTH, North Atlantic",NY,Suffolk County,,No,40.659318,-73.264861,6444,,7082,24,2,4,on grassy embankment,,7.1,2,,,,,,6,,,Coastal,10/30/2012 12:00:00 AM,,2,36,,,,no_label,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
40.6853,-73.2799,40.6853,-73.2799,2012 Sandy,Debris,Poor: +/- 0.40 ft,NAVD88,,,,RT-GNSS,NAD83,Marie Peppler,,NYSUF07085,"Bridge pier of Robert Moses Causeway at north side of Great South Bay, West Islip, NY.",Priority 1 (network or time critical),"North Atlantic, SWaTH",NY,Suffolk County,,No,40.685227,-73.279903,6443,,7085,24,2,4,on grassy embankment,,7.4,2,,,,,,6,,,Coastal,10/30/2012 12:00:00 AM,,2,36,,,,no_label,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
40.70396,-73.99049,40.70396,-73.99049,2012 Sandy,Seed line,Good: +/- 0.10 ft,NAVD88,,,,Map (digital or paper),NAD83,Marie Peppler,,NYKIN00002,,,,NY,Kings County,,Yes,40.704581,-73.988317,6248,,7086,24,5,2,in window of Bubby's Restaurant and Bar,,11.3,2,,,,,,4,,,Coastal,10/30/2012 12:00:00 AM,,2,36,,,,no_label,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
40.703999,-73.989436,40.703999,-73.989436,2012 Sandy,Seed line,Good: +/- 0.10 ft,NAVD88,,,,Map (digital or paper),NAD83,Marie Peppler,,NYKIN00002,,,,NY,Kings County,,Yes,40.704581,-73.988317,6251,,7086,24,5,2,on front of building,,11,2,,,,,,4,,,Coastal,10/30/2012 12:00:00 AM,,2,36,,,,no_label,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
40.703999,-73.989436,40.703999,-73.989436,2012 Sandy,Seed line,Good: +/- 0.10 ft,NAVD88,,,,Map (digital or paper),NAD83,Marie Peppler,,NYKIN00002,,,,NY,Kings County,,Yes,40.704581,-73.988317,6252,,7086,24,5,2,on back of guard booth,,10.9,2,,,,,,4,,,Coastal,10/30/2012 12:00:00 AM,,2,36,,,,no_label,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
40.7505,-73.0137,40.7505,-73.0137,2012 Sandy,Stain line,Excellent: +/- 0.05 ft,NAVD88,,,,RT-GNSS,NAD83,Marie Peppler,,NYSUF00021,"SSS-NY-SUF-021WL
SSS-NY-SUF-021BP",Priority 1 (network or time critical),"SWaTH, North Atlantic",NY,Suffolk County,,No,40.749179,-73.01338,6442,,7087,24,6,1,on side of shed,,5.8,2,,,,,,6,,,Coastal,10/30/2012 12:00:00 AM,,2,36,,,,no_label,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
